"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"garonma78-20092010","Mathieu.Garon","CBJ",35,"20092010",31,"1.200","1.200",90.33,91.13,29.1,1768.8,96.26,91.16,80,83,775,858,14,360,22,227,47,188
"brodema72-20102011","Martin.Brodeur","N.J",56,"20102011",38,"5.200","5.200",90.33,91.32,25.28,3115.8,97.44,90.42,78.98,127,1186,1313,15,572,34,321,78,293
"backsni78-20092010","Niklas.Backstrom","MIN",60,"20092010",31,"6.000","6.000",90.32,90.95,28.1,3484.8,96.1,91.33,79.45,158,1474,1632,29,715,39,411,90,348
"crawfco84-20112012","Corey.Crawford","CHI",57,"20112012",26,"3.250","2.667",90.31,91.32,28.13,3214.5,96.18,91.58,80.57,146,1361,1507,26,655,31,337,89,369
"kiprumi76-20082009","Miikka.Kiprusoff","CGY",76,"20082009",31,"8.500","5.833",90.3,91.2,29.31,4411.8,96.17,91.15,80.52,209,1946,2155,36,904,53,546,120,496
"emeryra82-20132014","Ray.Emery","PHI",28,"20132014",30,"1.650","1.650",90.3,91.22,30.5,1398.9,95.85,91.49,80.95,69,642,711,13,300,16,172,40,170
"fasthvi82-20132014","Viktor.Fasth","ANA/EDM",12,"20132014",31,"2.400","2.900",90.29,91.49,29.11,700.7,96.64,91.86,80,33,307,340,5,144,7,79,21,84
"varlase88-20122013","Semyon.Varlamov","COL",35,"20122013",24,"3.000","2.833",90.27,91.68,31.02,1948,95.91,92.61,81.63,98,909,1007,16,375,21,263,61,271
"osgooch72-20102011","Chris.Osgood","DET",11,"20102011",37,"1.100","1.417",90.27,90.8,28.47,628,93.94,88.16,86.67,29,269,298,8,124,9,67,12,78
"neuvimi88-20112012","Michal.Neuvirth","WSH",38,"20112012",23,"1.150","1.150",90.27,91.04,29.02,2017.7,95.78,88.93,82.9,95,881,976,18,409,31,249,46,223
"deslaje84-20112012","Jeff.Deslauriers","ANA",4,"20112012",27,"0.600","0.613",90.27,91.08,28.11,241.2,98.08,83.33,83.72,11,102,113,1,51,3,15,7,36
"scrivbe86-20112012","Ben.Scrivens","TOR",12,"20112012",25,"0.600","0.600",90.25,91.16,32.06,671.9,94.77,89.66,84.87,35,324,359,8,145,9,78,18,101
"mcelhcu83-20092010","Curtis.McElhinney","CGY/ANA",20,"20092010",26,"0.500","0.535",90.25,90.92,30.67,1023.2,95.45,92.59,79.45,51,472,523,11,231,10,125,30,116
"staloal87-20142015","Alex.Stalock","S.J",22,"20142015",27,"1.500","1.600",90.24,91.93,26.87,1235,98.2,91.82,78.49,54,499,553,4,218,13,146,37,135
"gustajo84-20112012","Jonas.Gustavsson","TOR",42,"20112012",26,"1.400","1.350",90.24,91.6,29.93,2299.4,96.56,89.61,82.89,112,1035,1147,16,449,32,276,64,310
"gerbema74-20082009","Martin.Gerber","OTT/TOR",26,"20082009",34,"3.700","3.700",90.24,91.26,31.05,1543.9,97.2,90.05,79.65,78,721,799,10,347,21,190,47,184
"deslaje84-20092010","Jeff.Deslauriers","EDM",47,"20092010",25,"0.625","0.625",90.24,91.28,32.82,2735.3,96.08,91.02,81.17,146,1350,1496,25,613,37,375,84,362
"rinnepe82-20132014","Pekka.Rinne","NSH",24,"20132014",30,"7.000","7.000",90.23,90.56,28.35,1365.2,98.71,89.01,74.51,63,582,645,4,306,20,162,39,114
"macdojo80-20122013","Joey.MacDonald","CGY",21,"20122013",32,"0.550","0.550",90.23,91.42,29.44,1147.6,96.64,90.97,80.59,55,508,563,8,230,14,141,33,137
"gustajo84-20092010","Jonas.Gustavsson","TOR",42,"20092010",24,"0.900","0.900",90.23,91.36,29.4,2339.1,96.24,89.21,82.95,112,1034,1146,18,461,34,281,60,292
"huttoca85-20142015","Carter.Hutton","NSH",18,"20142015",28,"0.700","0.725",90.22,90.7,26.76,1008.8,94.76,87.83,84.8,44,406,450,11,199,14,101,19,106
"quickjo86-20122013","Jonathan.Quick","L.A",37,"20122013",26,"1.700","1.800",90.21,91.22,25.02,2132.2,96.35,91.06,80.31,87,802,889,14,370,22,224,51,208
"elliobr85-20082009","Brian.Elliott","OTT",31,"20082009",23,"0.942","0.942",90.2,90.6,28.29,1666.9,94.74,90.82,81.43,77,709,786,20,360,18,178,39,171
"lindban88-20122013","Anders.Lindback","T.B",24,"20122013",24,"1.400","1.800",90.19,91.24,29.57,1302.5,96.72,91.3,79.35,63,579,642,9,265,16,168,38,146
"mazanma91-20132014","Marek.Mazanec","NSH",25,"20132014",22,"0.610","0.610",90.15,90.43,28.48,1369.5,95.36,89.29,80.92,64,586,650,14,288,21,175,29,123
"leighmi81-20082009","Michael.Leighton","CAR",19,"20082009",27,"0.600","0.600",90.14,91.03,29.6,1027.6,96.28,94.67,76.06,50,457,507,8,207,8,142,34,108
"brodema72-20132014","Martin.Brodeur","N.J",39,"20132014",41,"5.000","4.500",90.11,90.58,25.37,2296,94.81,89.21,82.8,96,875,971,23,420,30,248,43,207
"garonma78-20112012","Mathieu.Garon","T.B",48,"20112012",33,"1.350","1.300",90.1,91.31,28.81,2482.5,96.75,89.05,81.82,118,1074,1192,16,477,38,309,64,288
"pavelon87-20132014","Ondrej.Pavelec","WPG",57,"20132014",26,"3.500","3.900",90.09,90.99,30.39,3245.6,96.42,91.67,78.57,163,1481,1644,26,700,38,418,99,363
"macdojo80-20082009","Joey.MacDonald","NYI",49,"20082009",28,"0.500","0.487",90.09,91.31,34.04,2792.1,95.81,92.31,80.6,157,1427,1584,28,640,32,384,97,403
"labarja80-20082009","Jason.Labarbera","L.A/VAN",27,"20082009",28,"0.850","0.825",90.08,90.98,28,1425.2,98.36,90.61,75.42,66,599,665,5,300,17,164,44,135
"garonma78-20102011","Mathieu.Garon","CBJ",36,"20102011",32,"1.200","1.200",90.08,90.83,27.5,1935.4,95.19,90.34,81.89,88,799,887,19,376,23,215,46,208
"masonst88-20102011","Steve.Mason","CBJ",54,"20102011",22,"0.850","0.850",90.07,90.63,30.59,3022.6,96.41,92.38,76.38,153,1388,1541,25,672,34,412,94,304
"marksja90-20122013","Jacob.Markstrom","FLA",23,"20122013",22,"0.875","0.875",90.07,90.76,32.5,1264.8,95.62,90,81.03,68,617,685,14,306,17,153,37,158
"deslaje84-20082009","Jeff.Deslauriers","EDM",10,"20082009",24,"0.625","0.625",90.07,90.98,33.67,538.2,95.2,91.01,81.82,30,272,302,6,119,8,81,16,72
"khudoan86-20142015","Anton.Khudobin","CAR",34,"20142015",28,"2.000","2.250",90.06,91.62,27.37,1918.5,97.21,93.36,77.82,87,788,875,10,349,16,225,61,214
"brodema72-20122013","Martin.Brodeur","N.J",29,"20122013",40,"4.000","4.500",90.06,90.81,22.36,1755.1,95.99,90.75,79.67,65,589,654,12,287,16,157,37,145
"emeryra82-20112012","Ray.Emery","CHI",34,"20112012",28,"0.600","0.600",90.05,91.38,28.23,1772.5,96.21,90.54,81.78,83,751,834,13,330,21,201,49,220
"dipieri81-20092010","Rick.Dipietro","NYI",8,"20092010",27,"4.500","4.500",90.05,90.19,26.13,461.6,94.32,91.04,80.43,20,181,201,5,83,6,61,9,37
"reimeja88-20112012","James.Reimer","TOR",34,"20112012",23,"2.200","1.800",90.04,91.54,31.13,1877.4,97.79,90.19,79.4,97,877,974,9,399,26,239,62,239
"gigueje77-20082009","Jean-Sebastien.Giguere","ANA",46,"20082009",31,"5.500","6.000",90.03,90.65,31.16,2452.8,95.59,89.02,81.61,127,1147,1274,26,563,37,300,64,284
"ellisda80-20082009","Dan.Ellis","NSH",35,"20082009",28,"1.500","1.750",90.03,91.33,29.46,1961.6,97.74,92.01,76.81,96,867,963,9,390,23,265,64,212
"ersbeer82-20082009","Erik.Ersberg","L.A",28,"20082009",26,"0.700","0.700",90.02,90.91,26.46,1476.3,97.62,86.02,81.29,65,586,651,7,287,26,160,32,139
"theodjo76-20082009","Jose.Theodore","WSH",57,"20082009",32,"4.500","4.500",90.01,90.94,28.71,3285.4,95.49,91.9,80.17,157,1415,1572,31,657,34,386,92,372
"lalimpa74-20082009","Patrick.Lalime","BUF",24,"20082009",34,"1.000","1.000",89.99,91.15,30.99,1295.4,98.36,92,74.74,67,602,669,5,299,14,161,48,142
"smithmi82-20092010","Mike.Smith","T.B",42,"20092010",27,"2.000","2.200",89.96,91.78,30.79,2270.2,97.06,93.2,78.96,117,1048,1165,13,429,23,315,81,304
"karlshe83-20112012","Henrik.Karlsson","CGY",9,"20112012",27,"0.850","0.863",89.96,90.33,31.6,453.8,90.74,96.67,83.1,24,215,239,10,98,2,58,12,59
"gigueje77-20102011","Jean-Sebastien.Giguere","TOR",33,"20102011",33,"7.000","6.000",89.96,90.67,28.59,1630.9,94.84,89.05,83.26,78,699,777,18,331,22,179,38,189
"bryzgil80-20122013","Ilya.Bryzgalov","PHI",40,"20122013",32,"6.500","5.667",89.96,91.03,27.84,2297.7,97.37,89.87,78.5,107,959,1066,12,445,32,284,63,230
"bouchbr77-20092010","Brian.Boucher","PHI",33,"20092010",32,"0.925","0.925",89.95,90.52,27.44,1740.3,97.26,88.94,77.55,80,716,796,10,355,26,209,44,152
"budajpe82-20082009","Peter.Budaj","COL",56,"20082009",25,"0.800","0.700",89.94,90.55,28.46,3227.8,96.33,88.92,79.7,154,1377,1531,26,682,47,377,81,318
"brodema72-20142015","Martin.Brodeur","STL",7,"20142015",42,"0.950","0.950",89.94,91.13,28.6,354.5,98.53,87.3,78.95,17,152,169,1,67,8,55,8,30
"smithmi82-20102011","Mike.Smith","T.B",22,"20102011",28,"2.400","2.200",89.93,90.41,28.76,1201.8,95.64,88.59,80.92,58,518,576,12,263,17,132,29,123
"backsni78-20132014","Niklas.Backstrom","MIN",21,"20132014",35,"2.500","3.417",89.93,90.49,29.96,1093.4,97,91.04,75.86,55,491,546,8,259,12,122,35,110
"masonst88-20092010","Steve.Mason","CBJ",57,"20092010",21,"0.850","0.850",89.9,90.54,30.84,3139.7,96.57,87.53,80.51,163,1451,1614,26,732,53,372,84,347
"montoal85-20122013","Al.Montoya","WPG",7,"20122013",27,"0.601","0.601",89.88,90.84,28.71,351.1,95.83,87.23,83.67,17,151,168,3,69,6,41,8,41
"bishobe86-20102011","Ben.Bishop","STL",7,"20102011",23,"0.850","0.850",89.88,90.31,27.41,367.7,93.42,95.65,78.26,17,151,168,5,71,2,44,10,36
"halakja85-20122013","Jaroslav.Halak","STL",16,"20122013",27,"4.250","3.750",89.86,91.51,21.11,812.9,97.35,92.86,77.53,29,257,286,3,110,6,78,20,69
"bobrose88-20112012","Sergei.Bobrovsky","PHI",29,"20112012",22,"0.900","0.900",89.86,91.13,29.8,1548.5,96.49,88.44,82.25,78,691,769,11,302,26,199,41,190
"sabouda80-20082009","Dany.Sabourin","PIT",19,"20082009",28,"0.525","0.512",89.85,91.51,28.1,988.6,97.33,93.89,76.55,47,416,463,5,182,8,123,34,111
"wardxca84-20132014","Cam.Ward","CAR",30,"20132014",29,"6.600","6.300",89.81,90.65,30.06,1644.5,96.56,90.78,77.73,84,740,824,13,365,20,197,51,178
"turcoma75-20082009","Marty.Turco","DAL",74,"20082009",33,"5.700","5.700",89.81,91.15,27.67,4322,96.53,92.49,78.17,203,1790,1993,28,779,44,542,131,469
"masonch76-20112012","Chris.Mason","WPG",20,"20112012",35,"2.100","1.850",89.81,90.7,25.45,994.8,94.38,93.16,80.31,43,379,422,10,168,8,109,25,102
"ellisda80-20102011","Dan.Ellis","T.B/ANA",44,"20102011",30,"1.500","1.500",89.81,90.75,27.16,2406,95.45,90.71,80.63,111,978,1089,21,441,29,283,61,254
"kolziol70-20082009","Olaf.Kolzig","T.B",8,"20082009",38,"1.500","1.500",89.8,90.39,35.91,409.4,94.5,91.3,80.6,25,220,245,6,103,6,63,13,54
"raycran80-20112012","Andrew.Raycroft","DAL",10,"20112012",31,"0.600","0.650",89.77,89.88,34.36,529.1,94.52,91.67,78.08,31,272,303,8,138,7,77,16,57
"turcoma75-20102011","Marty.Turco","CHI",29,"20102011",35,"1.300","1.300",89.74,90.55,29.43,1629.1,95.63,91.79,78.32,82,717,799,16,350,17,190,49,177
"mcelhcu83-20102011","Curtis.McElhinney","ANA/OTT",28,"20102011",27,"0.570","0.535",89.74,91.7,31.01,1395.1,97.97,90.5,79.35,74,647,721,6,289,17,162,51,196
"nilstcr84-20122013","Cristopher.Nilstorp","DAL",5,"20122013",28,"1.000","1.000",89.73,90.46,30.11,290.9,97.01,87.8,78.95,15,131,146,2,65,5,36,8,30
"garonma78-20122013","Mathieu.Garon","T.B",18,"20122013",34,"1.250","1.300",89.7,90.13,28.21,908.1,96.37,90.08,76.7,44,383,427,7,186,13,118,24,79
"raantan89-20132014","Antti.Raanta","CHI",25,"20132014",24,"0.925","0.925",89.67,90.59,26.23,1395.4,95.47,91.76,78.86,63,547,610,12,253,14,156,37,138
"clemmsc77-20132014","Scott.Clemmensen","FLA",17,"20132014",36,"1.300","1.200",89.65,90.36,29.83,913.1,95,90.7,80,47,407,454,10,190,12,117,25,100
"bironma77-20092010","Martin.Biron","NYI",29,"20092010",32,"1.400","1.400",89.64,90.63,31.57,1632.7,94.46,91.76,81.23,89,770,859,19,324,21,234,49,212
"nilssan90-20132014","Anders.Nilsson","NYI",19,"20132014",23,"0.900","0.900",89.6,91.16,29.86,1101.2,96.3,94.34,76.88,57,491,548,8,208,9,150,40,133
"niittan80-20102011","Antero.Niittymaki","S.J",24,"20102011",30,"2.000","2.000",89.59,90.73,26.12,1412.8,96.17,88.37,81.32,64,551,615,10,251,20,152,34,148
"auldxal81-20092010","Alex.Auld","DAL/NYR",24,"20092010",28,"1.000","1.000",89.51,90.38,28.16,1299.6,96.17,88.48,79.75,64,546,610,10,251,22,169,32,126
"huetxcr75-20092010","Cristobal.Huet","CHI",48,"20092010",34,"5.625","5.625",89.47,90.35,23.8,2729.9,94.74,90.19,81.03,114,969,1083,24,432,31,285,59,252
"budajpe82-20102011","Peter.Budaj","COL",45,"20102011",27,"1.250","1.250",89.47,90.73,30.38,2437,95.91,89.68,80.58,130,1104,1234,21,493,35,304,74,307
"masonst88-20112012","Steve.Mason","CBJ",46,"20112012",23,"2.600","2.900",89.45,90.13,32.1,2532.6,97.23,89.28,75.62,143,1212,1355,18,631,37,308,88,273
"emeryra82-20142015","Ray.Emery","PHI",31,"20142015",31,"1.000","1.000",89.45,90.4,29,1568.2,97.47,87.43,78.08,80,678,758,9,347,23,160,48,171
"garonma78-20082009","Mathieu.Garon","EDM/PIT",19,"20082009",30,"1.000","1.100",89.44,91.07,29.56,1019.1,97.61,88.89,79.11,53,449,502,5,204,15,120,33,125
"ramoxka86-20082009","Karri.Ramo","T.B",24,"20082009",22,"0.725","0.658",89.43,90.33,34.71,1308.4,95.41,91.8,77.88,80,677,757,14,291,20,224,46,162
"poulike90-20122013","Kevin.Poulin","NYI",5,"20122013",22,"0.613","0.604",89.34,90.62,28.46,257.2,92,96.43,81.82,13,109,122,4,46,1,27,8,36
"masonch76-20102011","Chris.Mason","ATL",32,"20102011",34,"1.600","1.850",89.33,90.51,31.6,1619.7,94.29,92.11,80.73,91,762,853,20,330,18,210,53,222
"montoal85-20112012","Al.Montoya","NYI",31,"20112012",26,"0.601","0.601",89.3,90.88,29.05,1718.4,95.94,88.51,82.31,89,743,832,13,307,27,208,49,228
"lawsona83-20102011","Nathan.Lawson","NYI",10,"20102011",26,"0.500","0.500",89.3,91.58,38.01,383.6,98.89,83.82,83.53,26,217,243,1,89,11,57,14,71
"elliobr85-20102011","Brian.Elliott","OTT/COL",55,"20102011",25,"0.900","0.850",89.3,90.51,31.2,2982.5,97.02,88.11,78.83,166,1385,1551,21,683,44,326,101,376
"bishobe86-20082009","Ben.Bishop","STL",6,"20082009",21,"0.850","0.850",89.29,90.26,27.44,244.9,96,90,78.12,12,100,112,2,48,3,27,7,25
"berrare87-20132014","Reto.Berra","CGY/COL",31,"20132014",26,"0.850","0.850",89.27,90.09,28.62,1719.2,94.68,87.22,83.05,88,732,820,19,338,29,198,40,196
"theodjo76-20122013","Jose.Theodore","FLA",15,"20122013",36,"1.500","1.500",89.26,90.11,30.67,765,93.83,87.16,85,42,349,391,10,152,14,95,18,102
"raycran80-20082009","Andrew.Raycroft","COL",31,"20082009",28,"2.200","2.000",89.23,89.65,29.12,1722.3,95.44,90.7,76.1,90,746,836,17,356,24,234,49,156
"dipieri81-20082009","Rick.Dipietro","NYI",5,"20082009",26,"4.500","4.500",89.21,90.2,32.58,256,98.53,86.21,76.19,15,124,139,1,67,4,25,10,32
"montoal85-20142015","Al.Montoya","FLA",20,"20142015",29,"1.000","1.050",89.18,89.89,27.85,976.1,95.71,86.55,80.65,49,404,453,9,201,16,103,24,100
"macdojo80-20092010","Joey.MacDonald","TOR",6,"20092010",29,"0.650","0.650",89.17,89.78,29.58,318.5,97.44,89.19,73.81,17,140,157,2,76,4,33,11,31
"poulike90-20132014","Kevin.Poulin","NYI",28,"20132014",23,"0.578","0.578",89.15,90.3,30.3,1624,97.21,87.61,78.07,89,731,820,10,348,29,205,50,178
"peterju86-20122013","Justin.Peters","CAR",19,"20122013",26,"0.525","0.537",89.15,90.82,31.9,953.5,96.68,92.59,76.4,55,452,507,7,204,10,125,38,123
"lindban88-20132014","Anders.Lindback","T.B",23,"20132014",25,"2.200","1.800",89.14,90.92,26.75,1300.7,97.26,89.73,78.41,63,517,580,6,213,19,166,38,138
"ortiojo91-20132014","Joni.Ortio","CGY",9,"20132014",22,"0.630","0.613",89.12,91.7,23.18,499.6,97.4,93.02,78.08,21,172,193,2,75,3,40,16,57
"toskave77-20082009","Vesa.Toskala","TOR",52,"20082009",31,"4.000","4.000",89.1,90.6,29.98,2993.9,96.17,90.33,78.83,163,1333,1496,24,602,38,355,101,376
"dubnyde86-20132014","Devan.Dubnyk","EDM/NSH",34,"20132014",27,"3.750","3.500",89.1,90.14,31.49,1800.5,95.43,89.44,79.4,103,842,945,18,376,30,254,55,212
"gustajo84-20102011","Jonas.Gustavsson","TOR",23,"20102011",25,"1.300","1.350",89.03,90.43,29.96,1241.6,95.93,88.24,80.75,68,552,620,10,236,22,165,36,151
"macdojo80-20132014","Joey.MacDonald","CGY",11,"20132014",33,"0.925","0.925",89.02,90.2,26.51,597.4,95.97,91.67,76.25,29,235,264,5,119,5,55,19,61
"scrivbe86-20142015","Ben.Scrivens","EDM",57,"20142015",28,"2.300","2.300",88.98,89.93,28.69,3224.9,94.2,90,80.62,170,1372,1542,37,601,45,405,88,366
"khabini73-20102011","Nikolai.Khabibulin","EDM",47,"20102011",37,"3.750","3.750",88.98,90.79,30.88,2698.4,96.1,90.19,79.91,153,1236,1389,20,493,41,377,92,366
"lalimpa74-20102011","Patrick.Lalime","BUF",7,"20102011",36,"0.600","0.600",88.96,90.46,26.82,364.7,96.83,88.89,78.26,18,145,163,2,61,6,48,10,36
"dubnyde86-20092010","Devan.Dubnyk","EDM",19,"20092010",23,"0.700","0.700",88.95,90.16,32.31,1075.2,95.6,88.67,79.89,64,515,579,11,239,17,133,36,143
"johnsch86-20142015","Chad.Johnson","NYI",19,"20142015",28,"1.000","1.300",88.93,90.33,27.87,1050.6,96.46,89.8,77.62,54,434,488,7,191,15,132,32,111
"fasthvi82-20142015","Viktor.Fasth","EDM",26,"20142015",32,"3.400","2.900",88.84,89.81,30.6,1335.2,94.65,86.9,82.24,76,605,681,16,283,22,146,38,176
"mcelhcu83-20082009","Curtis.McElhinney","CGY",13,"20082009",25,"0.500","0.500",88.8,89.37,31.94,452.7,97.41,85.94,75.41,27,214,241,3,113,9,55,15,46
"zeppxro81-20142015","Rob.Zepp","PHI",10,"20142015",33,"0.600","0.600",88.79,89.58,25.86,517.5,96.19,84,80.88,25,198,223,4,101,8,42,13,55
"osgooch72-20092010","Chris.Osgood","DET",23,"20092010",36,"1.450","1.417",88.77,89.79,26.9,1251.1,95,85.9,82.42,63,498,561,12,228,22,134,29,136
"lehnero91-20102011","Robin.Lehner","OTT",8,"20102011",19,"0.900","0.900",88.76,89.05,31.4,340.1,95.24,92,72.73,20,158,178,4,80,4,46,12,32
"dipieri81-20102011","Rick.Dipietro","NYI",25,"20102011",28,"4.500","4.500",88.75,90.08,30.06,1473.2,95.05,90.73,78.7,83,655,738,15,288,19,186,49,181
"backsni78-20142015","Niklas.Backstrom","MIN",19,"20142015",36,"3.750","3.417",88.72,89.79,27.01,1004,97.04,90.32,73.6,51,401,452,6,197,12,112,33,92
"leclapa82-20092010","Pascal.Leclaire","OTT",34,"20092010",26,"3.600","3.800",88.69,89.6,28.27,1744.3,95.12,89.5,77.78,93,729,822,18,351,23,196,52,182
"mckenmi83-20082009","Mike.McKenna","T.B",15,"20082009",25,"0.475","0.475",88.67,89.91,31.43,775,95,88.98,79.83,46,360,406,8,152,14,113,24,95
"osgooch72-20082009","Chris.Osgood","DET",46,"20082009",35,"1.700","1.417",88.66,90.21,27.25,2659.5,96.11,89.6,78.07,137,1071,1208,19,469,36,310,82,292
"rolosdw69-20112012","Dwayne.Roloson","T.B",40,"20112012",41,"3.000","3.000",88.63,90.55,32.23,2096.1,95.62,91.33,78.83,128,998,1126,19,415,26,274,83,309
"hedbejo73-20082009","Johan.Hedberg","ATL",33,"20082009",35,"1.087","1.087",88.57,89.93,30.6,1715.9,95.56,89.2,78.49,100,775,875,16,344,27,223,57,208
"bachmri87-20122013","Richard.Bachman","DAL",13,"20122013",25,"0.625","0.625",88.54,89.46,28.37,609,97.81,84.06,76.83,33,255,288,3,134,11,58,19,63
"legacma73-20082009","Manny.Legace","STL",29,"20082009",35,"2.500","2.150",88.49,89.16,27.66,1451.4,97.56,86.42,73.74,77,592,669,8,320,22,140,47,132
"hackema90-20142015","Matt.Hackett","BUF",5,"20142015",24,"0.751","0.751",88.39,89.35,37.16,250.3,97.18,83.72,78.05,18,137,155,2,69,7,36,9,32
"auldxal81-20112012","Alex.Auld","OTT",14,"20112012",30,"1.000","1.000",88.39,89.04,28.87,644.3,94.03,91.4,75.9,36,274,310,8,126,8,85,20,63
"conklty76-20112012","Ty.Conklin","DET",15,"20112012",35,"0.750","0.750",88.36,89.84,28.23,803.4,96.75,90.43,74.31,44,334,378,5,149,11,104,28,81
"johnsbr77-20112012","Brent.Johnson","PIT",16,"20112012",34,"0.600","0.600",88.3,90.74,26.59,810,97.9,90.22,75.81,42,317,359,3,140,9,83,30,94
"irvinle88-20122013","Leland.Irving","CGY",6,"20122013",24,"0.688","0.688",88.28,88.99,28.47,269.8,98.41,83.33,74.29,15,113,128,1,62,5,25,9,26
"hedbejo73-20122013","Johan.Hedberg","N.J",19,"20122013",39,"1.400","1.400",88.28,90.94,23.57,1107.2,99.35,86.18,77.52,51,384,435,1,153,21,131,29,100
"nabokev75-20142015","Evgeni.Nabokov","T.B",11,"20142015",39,"1.550","1.550",88.16,90.01,26.56,553.4,95.83,87.69,79.76,29,216,245,4,92,8,57,17,67
"conklty76-20102011","Ty.Conklin","STL",25,"20102011",34,"1.400","1.300",88.16,89.35,27.21,1285.6,95.33,92.99,72.78,69,514,583,12,245,11,146,46,123
"kiprumi76-20122013","Miikka.Kiprusoff","CGY",24,"20122013",35,"5.000","5.833",88.15,89.3,29.07,1341.6,96.04,88.6,75.42,77,573,650,11,267,22,171,44,135
"peterju86-20142015","Justin.Peters","WSH",12,"20142015",28,"0.950","0.950",88.1,89.77,27.29,646.3,96.88,87.32,76.84,35,259,294,4,124,9,62,22,73
"bouchbr77-20112012","Brian.Boucher","CAR",10,"20112012",34,"0.900","0.950",88.08,89.44,28.57,546,96.23,87.8,76.39,31,229,260,4,102,10,72,17,55
"pavelon87-20082009","Ondrej.Pavelec","ATL",12,"20082009",21,"0.850","0.850",88.04,89.41,30.14,599.3,95.12,87.36,79.12,36,265,301,6,117,11,76,19,72
"toskave77-20092010","Vesa.Toskala","TOR/CGY",32,"20092010",32,"4.000","4.000",87.97,89.45,28.91,1604.5,94.5,89.35,78.63,93,680,773,17,292,23,193,53,195
"ellisda80-20132014","Dan.Ellis","DAL/FLA",20,"20132014",33,"0.800","0.900",87.94,89.4,30.05,1026.3,95.26,85.29,80.84,62,452,514,10,201,20,116,32,135
"tokardu89-20112012","Dustin.Tokarski","T.B",5,"20112012",21,"0.550","0.575",87.93,90.32,28.59,243.4,97.62,82.35,82.5,14,102,116,1,41,6,28,7,33
"gustajo84-20122013","Jonas.Gustavsson","DET",7,"20122013",27,"1.500","1.500",87.86,88.5,24.05,349.2,93.65,87.5,78.38,17,123,140,4,59,5,35,8,29
"schneco86-20082009","Cory.Schneider","VAN",8,"20082009",22,"0.984","0.984",87.65,89.8,27.28,356.3,96.88,85.71,78.57,20,142,162,2,62,6,36,12,44
"dipieri81-20112012","Rick.Dipietro","NYI",7,"20112012",29,"4.500","4.500",87.57,88.74,30.03,353.7,96.34,86.05,75,22,155,177,3,79,6,37,13,39
"peterju86-20102011","Justin.Peters","CAR",12,"20102011",24,"0.500","0.525",87.46,90.13,31.74,648.3,98.5,85.71,76.47,43,300,343,2,131,13,78,28,91
"clemmsc77-20122013","Scott.Clemmensen","FLA",19,"20122013",35,"1.100","1.200",87.41,88.6,29.15,866.5,92.9,89.26,78.63,53,368,421,12,157,13,108,28,103
"masonch76-20122013","Chris.Mason","NSH",11,"20122013",36,"1.250","1.250",87.34,89.38,29.47,466.3,95.29,85.25,80.72,29,200,229,4,81,9,52,16,67
"marksja90-20132014","Jacob.Markstrom","FLA/VAN",16,"20132014",23,"1.000","1.200",87.26,88.5,26.65,812.8,94.41,89.01,75.23,46,315,361,9,152,10,81,27,82
"norrefr73-20082009","Fredrik.Norrena","CBJ",8,"20082009",34,"0.900","0.850",87.22,88.28,24.67,323.5,98.28,90.24,64.71,17,116,133,1,57,4,37,12,22
"stephto84-20082009","Tobias.Stephan","DAL",10,"20082009",24,"0.485","0.485",87.02,88.01,28.57,436.8,92.41,89.86,76.67,27,181,208,6,73,7,62,14,46
"labarja80-20132014","Jason.Labarbera","EDM",7,"20132014",33,"1.000","1.000",86.99,87.22,25.24,347,89.71,87.5,81.58,19,127,146,7,61,5,35,7,31
"josepcu67-20082009","Curtis.Joseph","TOR",20,"20082009",41,"0.700","0.700",86.95,88.31,27.33,840.9,93.63,86.79,78.33,50,333,383,10,147,14,92,26,94
"leclapa82-20082009","Pascal.Leclaire","CBJ",12,"20082009",25,"3.000","3.800",86.73,87.7,28.88,673.2,93.28,91.92,71.43,43,281,324,9,125,8,91,26,65
"forsban92-20142015","Anton.Forsberg","CBJ",5,"20142015",21,"0.645","0.655",86.58,89.01,35.07,254.9,96.49,85.37,76.47,20,129,149,2,55,6,35,12,39
"thiesbr86-20112012","Brad.Thiessen","PIT",5,"20112012",25,"0.525","0.525",85.84,86.79,26.33,257.5,100,78.38,66.67,16,97,113,0,52,8,29,8,16
"turcoma75-20112012","Marty.Turco","BOS",5,"20112012",36,"0.600","0.600",85.45,87.5,25.31,260.8,97.96,85.71,66.67,16,94,110,1,48,4,24,11,22
"valiqst77-20092010","Stephen.Valiquette","NYR",6,"20092010",32,"0.725","0.725",85.16,86.23,25.21,304.7,89.8,83.33,81.4,19,109,128,5,44,6,30,8,35
"bryzgil80-20142015","Ilya.Bryzgalov","ANA",8,"20142015",34,"6.000","5.667",84.67,84.93,27.38,328.7,90,90.48,68.42,23,127,150,7,63,4,38,12,26
"poggeju86-20082009","Justin.Pogge","TOR",7,"20082009",22,"0.550","0.617",84.39,86.31,27.93,371.7,93.85,87.72,68.63,27,146,173,4,61,7,50,16,35
