"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"yorkxal89-20112012","Allen.York","CBJ",11,"20112012",22,"0.688","0.713",91.96,91.46,28.64,416.9,95.73,97.5,76.19,16,183,199,5,112,1,39,10,32
"niemian83-20102011","Antti.Niemi","S.J",60,"20102011",27,"2.000","2.000",91.96,92.46,29.65,3523.2,97.07,91.25,83.69,140,1601,1741,24,794,40,417,76,390
"bryzgil80-20092010","Ilya.Bryzgalov","PHX",68,"20092010",29,"4.250","4.250",91.96,92.58,28.76,4020.6,96.81,93.31,82.73,155,1772,1927,27,820,37,516,91,436
"luongro79-20112012","Roberto.Luongo","VAN",55,"20112012",32,"6.716","5.333",91.95,93.07,29.93,3161.2,97.63,93.99,82.3,127,1450,1577,16,659,25,391,86,400
"khabini73-20082009","Nikolai.Khabibulin","CHI",42,"20082009",35,"6.750","6.750",91.95,92.72,29.02,2464.2,95.78,95.5,83.33,96,1096,1192,22,499,14,297,60,300
"backsni78-20112012","Niklas.Backstrom","MIN",46,"20112012",33,"6.000","6.000",91.92,92.63,30.13,2586.9,97.97,94.05,79.66,105,1194,1299,12,580,21,332,72,282
"vokouto76-20122013","Tomas.Vokoun","PIT",20,"20122013",36,"2.000","2.000",91.91,92.72,30.28,1028.4,97.06,94.62,81.46,42,477,519,7,231,7,123,28,123
"lehtoka83-20132014","Kari.Lehtonen","DAL",65,"20132014",29,"6.250","5.900",91.9,92.89,29.81,3800.3,96.92,92.27,84.82,153,1735,1888,23,723,45,537,85,475
"luongro79-20132014","Roberto.Luongo","VAN/FLA",56,"20132014",34,"6.714","5.333",91.89,92.34,29.63,3219.9,97.31,92.86,81.07,129,1461,1590,20,724,31,403,78,334
"gigueje77-20112012","Jean-Sebastien.Giguere","COL",32,"20112012",34,"1.250","1.250",91.88,92.52,28.05,1818.2,97.72,90.54,83.26,69,781,850,9,386,21,201,39,194
"hillejo82-20082009","Jonas.Hiller","ANA",46,"20082009",26,"1.300","1.300",91.87,92.6,29.41,2482.9,98.06,91.5,81.92,99,1118,1217,11,557,26,280,62,281
"enrotjh88-20122013","Jhonas.Enroth","BUF",12,"20122013",24,"0.725","0.675",91.87,92.21,31.99,622.7,95.51,92.05,85.23,27,305,332,7,149,7,81,13,75
"peterju86-20132014","Justin.Peters","CAR",21,"20132014",27,"0.550","0.537",91.85,92.8,30.66,1224.9,98.17,94.32,79.66,51,575,626,5,268,10,166,36,141
"johnsch86-20092010","Chad.Johnson","NYR",5,"20092010",23,"0.640","0.660",91.85,92.09,28.93,280,94.34,93.62,85.71,11,124,135,3,50,3,44,5,30
"millery80-20132014","Ryan.Miller","BUF/STL",59,"20132014",33,"6.250","6.250",91.83,92.76,32.34,3497.7,98.03,91.91,82.23,154,1731,1885,16,796,44,500,94,435
"hillejo82-20092010","Jonas.Hiller","ANA",59,"20092010",27,"1.300","1.300",91.83,92.67,33.47,3334.2,95.79,93.22,85.38,152,1708,1860,34,774,31,426,87,508
"varlase88-20082009","Semyon.Varlamov","WSH",6,"20082009",20,"0.850","0.822",91.82,93.24,29.06,328.3,97.18,97.22,80.77,13,146,159,2,69,1,35,10,42
"millery80-20082009","Ryan.Miller","BUF",59,"20082009",28,"3.500","2.667",91.82,92.5,30.91,3441.3,96.21,92.95,84.05,145,1628,1773,30,761,33,435,82,432
"vasilan94-20142015","Andrei.Vasilevskiy","T.B",16,"20142015",20,"0.925","0.925",91.81,92.52,28.86,862.8,94.94,89.55,90.24,34,381,415,8,150,14,120,12,111
"berrare87-20142015","Reto.Berra","COL",19,"20142015",27,"1.400","1.450",91.81,93.01,32.3,748.6,97.56,92.98,83.2,33,370,403,4,160,8,106,21,104
"raskxtu87-20102011","Tuukka.Rask","BOS",29,"20102011",23,"1.000","1.250",91.8,92.7,32.64,1592.1,96.51,93.63,83.53,71,795,866,12,332,17,250,42,213
"mrazepe92-20142015","Petr.Mrazek","DET",29,"20142015",22,"0.550","0.595",91.79,92.24,29.05,1583.9,96.81,91.7,82.9,63,704,767,11,334,19,210,33,160
"hillejo82-20142015","Jonas.Hiller","CGY",52,"20142015",32,"4.500","4.500",91.79,92.55,28.76,2870.3,96.84,91.36,84.48,113,1263,1376,19,582,33,349,61,332
"fleurma84-20102011","Marc-Andre.Fleury","PIT",65,"20102011",25,"5.500","5.000",91.79,92.98,28.3,3693.9,97.47,94.13,82.12,143,1599,1742,19,732,26,417,98,450
"bobrose88-20142015","Sergei.Bobrovsky","CBJ",51,"20142015",25,"6.250","5.625",91.79,92.14,32.72,2992.5,96.52,93.62,81.2,134,1498,1632,26,721,30,440,78,337
"quickjo86-20102011","Jonathan.Quick","L.A",61,"20102011",24,"1.900","1.800",91.78,92.23,27.28,3587.9,96.1,91.54,84.54,134,1497,1631,29,714,39,422,66,361
"hedbejo73-20112012","Johan.Hedberg","N.J",27,"20112012",38,"1.250","1.250",91.78,92.59,27.11,1589.3,97.2,92.06,83.17,59,659,718,9,312,15,174,35,173
"quickjo86-20142015","Jonathan.Quick","L.A",72,"20142015",28,"7.000","5.800",91.77,92.39,27.21,4181.5,97.35,92.05,82.03,156,1740,1896,23,845,41,475,92,420
"svedbni89-20142015","Niklas.Svedberg","BOS",18,"20142015",25,"0.600","0.600",91.76,92.93,28.34,899.9,97.02,93.55,83.46,35,390,425,5,163,8,116,22,111
"hardijo84-20112012","Josh.Harding","MIN",34,"20112012",27,"0.750","0.750",91.74,92.57,31.76,1853.3,97.51,93.51,80.94,81,900,981,11,430,17,245,53,225
"clemmsc77-20082009","Scott.Clemmensen","N.J",40,"20082009",31,"0.500","0.500",91.74,92.18,29.02,2353.2,97.38,92.93,80.2,94,1044,1138,14,520,22,289,58,235
