"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"23","BOS",82,"20132014",258,171,87,53.1,109.9,72.6,9.9,92.8,51.6,102.7,52.1,52.6,95,969,874,11.7,10.5,22.2,53,278,2426,2148,29.2,25.9,55.1,53.1,560,4838,4278,58.3,51.6,109.9,52.7,373,43.4,38.9,3600,3227,82.3,987,842,1238,1051,52.3,228,31.5,28.7,2613,2385,3.1,2.1,60.1,9.9,7.2,92.8,54,72.6,51.6,2577,2418,1761,1616,1618,2008,2057,350,312,-38,4978.8
"24","VAN",82,"20112012",241,191,50,53,109.8,72.3,9.3,92.4,52.2,101.8,50.8,48.7,-51,947,998,11.3,11.9,23.2,49.6,-34,2215,2249,26.5,26.9,53.3,53,557,4875,4318,58.2,51.6,109.8,52,274,42.7,39.4,3573,3299,82.1,990,773,1302,1019,50.6,57,30.9,30.2,2583,2526,2.9,2.3,55.8,9.3,6.7,92.4,53,72.3,52.2,2529,2320,1656,1588,1605,1826,1945,391,387,-4,5021.9
"25","NYR",82,"20082009",200,212,-12,53,110.6,71.7,7.5,91.3,50.8,98.8,55.4,49.7,-13,976,989,11.7,11.8,23.5,52,188,2396,2208,28.7,26.4,55.1,53,554,4895,4341,58.6,52,110.6,52.3,325,44.4,40.5,3709,3384,84.9,1050,951,1186,957,52.2,226,31.8,29.1,2659,2433,2.4,2.5,48.5,7.5,5.4,91.3,54.3,71.7,50.8,2312,2235,1662,1545,1340,2312,2173,459,475,16,5010.7
"26","WSH",81,"20092010",309,226,83,52.8,118.3,71.4,11.6,90.9,51.6,102.5,51.2,52.2,92,1080,988,13.1,12,25.1,52.6,273,2721,2448,33,29.7,62.7,52.8,548,5154,4606,62.5,55.8,118.3,51.9,268,45.3,42,3733,3465,87.3,1066,972,1421,1141,51.7,174,32.3,30.2,2667,2493,3.7,2.7,57.8,11.6,8.3,90.9,51.7,71.4,51.6,2504,2351,1604,1724,1527,1712,1760,379,373,-6,4948.6
"27","NYR",82,"20132014",214,190,24,52.9,113.6,73.2,7.9,92.1,48.8,100,52.3,53.5,130,1002,872,12.1,10.5,22.6,52.8,239,2258,2019,27.3,24.4,51.7,52.9,543,4974,4431,60.1,53.5,113.6,52.8,400,44.8,40,3712,3312,84.8,993,900,1262,1119,53,307,32.8,29.1,2719,2412,2.6,2.3,53,7.9,5.8,92.1,54.7,73.2,48.8,2397,2512,1751,1562,1596,1905,1847,329,365,36,4966.9
"28","CAR",82,"20142015",183,219,-36,52.9,110,71.1,7.3,90.2,53,97.5,53.2,50.1,2,923,921,11.1,11.1,22.1,51.7,154,2301,2147,27.6,25.8,53.4,52.9,538,4849,4311,58.2,51.7,110,52.4,328,42.6,38.7,3549,3221,81.3,1025,984,1300,1090,53,287,30.3,26.9,2524,2237,2.2,2.6,45.5,7.3,5.2,90.2,52.1,71.1,53,2602,2311,1771,1587,1555,1952,2311,239,290,51,4998.4
"29","PIT",82,"20102011",228,196,32,52.9,109.4,72.7,8.8,91.7,49.2,100.5,51.8,50.9,33,935,902,11.2,10.8,22,52.6,231,2340,2109,28,25.2,53.2,52.9,532,4841,4309,57.9,51.5,109.4,52.4,326,42.5,38.6,3553,3227,81.1,971,875,1288,1082,52.3,230,30.9,28.1,2582,2352,2.7,2.3,53.8,8.8,6.4,91.7,53.3,72.7,49.2,2329,2403,1603,1637,1492,2280,2012,484,475,-9,5016.1
"30","STL",82,"20112012",206,155,51,53,106.9,70.2,8.2,92.9,50.4,101.1,51.7,54.4,158,987,829,11.8,9.9,21.8,52,174,2242,2068,26.9,24.8,51.7,53,529,4721,4192,56.6,50.3,106.9,53.8,506,42.9,36.8,3578,3072,79.8,1066,882,1143,1120,53.4,322,30.1,26.3,2512,2190,2.5,1.9,57.1,8.2,5.8,92.9,53.2,70.2,50.4,2336,2297,1583,1572,1478,1949,1740,408,390,-18,5002.1
"31","N.J",82,"20082009",238,207,31,52.9,106.5,74.4,8.8,91.4,51.3,100.2,51.1,53.1,109,938,829,11.3,10,21.2,53.5,297,2283,1986,27.4,23.9,51.3,52.9,516,4690,4174,56.4,50.2,106.5,53.1,422,43.6,38.5,3626,3204,82.1,928,789,1064,970,52.8,283,32.4,29,2698,2415,2.9,2.5,53.5,8.8,6.6,91.4,57.5,74.4,51.3,2359,2243,1575,1517,1509,1448,1465,428,418,-10,4992.1
"32","NSH",82,"20142015",226,202,24,52.7,111,72,8.6,91.3,48.9,99.9,51.7,51.7,54,842,788,10.1,9.4,19.5,53.1,264,2258,1994,27,23.9,50.9,52.7,498,4882,4384,58.5,52.5,111,53.1,427,43.5,38.4,3632,3205,81.9,1018,887,1250,1179,53,296,31.3,27.8,2614,2318,2.7,2.4,52.8,8.6,6.2,91.3,53.5,72,48.9,2562,2677,1877,1610,1752,1691,1685,295,324,29,5010.1
